Code,Category,Year,Emissions
CAN,1A1a,1970,0.7497147489599998
CAN,1A1bc,1970,1.0218093
CAN,1A2,1970,9.514982999999997
CAN,1A3a,1970,0.04180648
CAN,1A3b,1970,40.760039661
CAN,1A3c,1970,0.3395222
CAN,1A3d,1970,0.441273
CAN,1A3e,1970,
CAN,1A4,1970,44.603363099999996
CAN,1B1,1970,53.203416
CAN,1B2,1970,2059.4319486
CAN,1B2x,1970,
CAN,2B,1970,3.49494902
CAN,2C,1970,1.92062
CAN,4A,1970,661.5387
CAN,4B,1970,234.45378200000005
CAN,4F,1970,4.09068263
CAN,6A,1970,723.335
CAN,6B,1970,157.00551739999997
CAN,6C,1970,23.247759
SPM,1A3b,1970,0.0002359872068
SPM,1A4,1970,0.0006217629852000001
SPM,4A,1970,0.000175
SPM,4B,1970,4.59862e-06
SPM,6A,1970,0.0789851
SPM,6B,1970,0.009888416300000001
SPM,6C,1970,0.0007428690000000001
USA,1A1a,1970,13.282302884999998
USA,1A1bc,1970,8.545328999999997
USA,1A2,1970,84.73268900000001
USA,1A3a,1970,0.92591845
USA,1A3b,1970,499.19983310000003
USA,1A3c,1970,2.205212
USA,1A3d,1970,1.34031
USA,1A3e,1970,0.706182
USA,1A4,1970,351.217007
USA,1B1,1970,3739.0490999999997
USA,1B2,1970,6894.6736710000005
USA,1B2x,1970,
USA,2B,1970,11.2123632
USA,2C,1970,2.13925
USA,4A,1970,6448.121
USA,4B,1970,1888.6133378
USA,4C,1970,359.43324
USA,4F,1970,32.883274910000004
USA,6A,1970,6065.48
USA,6B,1970,618.6726190000002
USA,6C,1970,310.868
USA,6D,1970,15.241
USA,7A,1970,15.0
MEX,1A1a,1970,0.23588189999999998
MEX,1A1bc,1970,0.3111204
MEX,1A2,1970,2.601207
MEX,1A3a,1970,
MEX,1A3b,1970,7.41099259
MEX,1A3c,1970,
MEX,1A3d,1970,
MEX,1A3e,1970,0.358734
MEX,1A4,1970,60.9662084
MEX,1B1,1970,30.391492999999997
MEX,1B2,1970,2125.020612
MEX,2B,1970,0.07785411
MEX,2C,1970,2.38788
MEX,4A,1970,1505.2650999999998
MEX,4B,1970,111.062558
MEX,4C,1970,31.127709999999997
MEX,4F,1970,21.215929439999996
MEX,6A,1970,103.367
MEX,6B,1970,313.9592004999999
MEX,6C,1970,5.29472
ABW,1A1a,1970,0.00012623742
ABW,1A2,1970,0.00695094142
ABW,1A3a,1970,
ABW,1A3b,1970,0.0013519558404
ABW,1A3d,1970,
ABW,1A3e,1970,
ABW,1A4,1970,5.0472528800000005e-05
ABW,1B1,1970,0.00267787
ABW,1B2,1970,
ABW,4A,1970,0.033937
ABW,4B,1970,0.017343898000000003
ABW,6A,1970,0.338796
ABW,6B,1970,0.3020651
ABW,6C,1970,0.0136319
AIA,1A1a,1970,1.3616738999999998e-05
AIA,1A2,1970,0.000817745748
AIA,1A3b,1970,0.0004341047702
AIA,1A4,1970,5.9379398119999995e-06
AIA,1B1,1970,0.0426066
AIA,6A,1970,0.0297322
AIA,6B,1970,0.03415829
AIA,6C,1970,3.45946e-05
ANT,1A1a,1970,0.01006177
ANT,1A1bc,1970,0.13451
ANT,1A2,1970,0.179814
ANT,1A3b,1970,0.1545076
ANT,1A4,1970,0.038395
ANT,1B2,1970,10.7436335
ANT,4A,1970,0.3551506
ANT,4B,1970,0.013928003900000001
ANT,6A,1970,0.111754
ANT,6B,1970,0.053118240000000004
ANT,6C,1970,0.0376449
ATG,1A1a,1970,0.0030886258
ATG,1A1bc,1970,
ATG,1A2,1970,0.00773276386
ATG,1A3a,1970,
ATG,1A3b,1970,0.0015012168696999998
ATG,1A3d,1970,
ATG,1A3e,1970,
ATG,1A4,1970,0.049427426989999995
ATG,1B1,1970,0.00145681
ATG,1B2,1970,0.10400117181
ATG,4A,1970,0.573551
ATG,4B,1970,0.015253801999999999
ATG,4F,1970,0.0110637417
ATG,6A,1970,0.173079
ATG,6B,1970,0.32214309300000005
ATG,6C,1970,0.0167197
BHS,1A1a,1970,0.055332383
BHS,1A1bc,1970,
BHS,1A2,1970,0.0326568633
BHS,1A3a,1970,
BHS,1A3b,1970,0.0038766158229999997
BHS,1A3d,1970,
BHS,1A3e,1970,
BHS,1A4,1970,0.6077923744999999
BHS,1B1,1970,0.00915217
BHS,1B2,1970,1.0251349572000001
BHS,4A,1970,0.39503770000000005
BHS,4B,1970,0.025968998799999997
BHS,4F,1970,0.007703268899999999
BHS,6A,1970,1.21367
BHS,6B,1970,0.864895582
BHS,6C,1970,0.0420708
BLZ,1A1a,1970,0.001240638
BLZ,1A1bc,1970,
BLZ,1A2,1970,0.016906871700000003
BLZ,1A3a,1970,
BLZ,1A3b,1970,0.002800136776
BLZ,1A3d,1970,
BLZ,1A3e,1970,
BLZ,1A4,1970,0.10352513819999999
BLZ,1B1,1970,0.009033
BLZ,1B2,1970,0.059485766229999994
BLZ,4A,1970,1.9269999999999998
BLZ,4B,1970,0.06722404
BLZ,4C,1970,0.3693819
BLZ,4F,1970,0.19968825599999998
BLZ,6A,1970,0.164662
BLZ,6B,1970,0.8416015
BLZ,6C,1970,0.00171509
BMU,1A1a,1970,0.0044294771
BMU,1A1bc,1970,
BMU,1A2,1970,0.007295348240000001
BMU,1A3a,1970,
BMU,1A3b,1970,0.0011848438184
BMU,1A3d,1970,
BMU,1A3e,1970,
BMU,1A4,1970,0.0990211807
BMU,1B1,1970,0.00129153
BMU,1B2,1970,0.1411244993
BMU,4A,1970,0.08311049999999999
BMU,4B,1970,0.0031720399000000005
BMU,4F,1970,5.4593349999999995e-05
BMU,6A,1970,0.242902
BMU,6B,1970,0.2735553190000001
BMU,6C,1970,0.00341756
BRB,1A1a,1970,0.018250165
BRB,1A1bc,1970,
BRB,1A2,1970,0.0299368415
BRB,1A3a,1970,
BRB,1A3b,1970,0.005461125254
BRB,1A3d,1970,
BRB,1A3e,1970,
BRB,1A4,1970,0.08758750575000002
BRB,1B1,1970,0.0448303
BRB,1B2,1970,0.24888001140000002
BRB,4A,1970,1.4913360000000002
BRB,4B,1970,0.066689983
BRB,4F,1970,0.3921486609
BRB,6A,1970,0.727947
BRB,6B,1970,1.7668336262000002
BRB,6C,1970,0.0604768
CRI,1A1a,1970,0.0066654958
CRI,1A1bc,1970,0.002597814
CRI,1A2,1970,0.184543
CRI,1A3a,1970,
CRI,1A3b,1970,0.0993209151
CRI,1A3d,1970,
CRI,1A3e,1970,0.015198
CRI,1A4,1970,1.32282
CRI,1B1,1970,0.4551
CRI,1B2,1970,0.11239716000000001
CRI,4A,1970,94.74125000000001
CRI,4B,1970,2.19515495
CRI,4C,1970,9.006272000000001
CRI,4F,1970,0.7315763100000001
CRI,6A,1970,1.77379
