Code,Category,Year,Emissions
CAN,1A1a,1970,783.4
CAN,1A2,1970,22690.3
CAN,1A3b,1970,
CAN,1A4,1970,7598.57
CAN,4F,1970,2295.32825
CAN,6C,1970,101.121
SPM,1A4,1970,0.18669154999999998
USA,1A1a,1970,255.40044999999998
USA,1A2,1970,104647.0
USA,1A3b,1970,
USA,1A3c,1970,
USA,1A3e,1970,
USA,1A4,1970,42893.318
USA,4F,1970,18451.189199999997
MEX,1A1a,1970,
MEX,1A2,1970,5092.2
MEX,1A4,1970,18912.9
MEX,4F,1970,11904.494341000003
ABW,1A1a,1970,0.257069
ABW,1A2,1970,23.0454677
ABW,1A4,1970,0.010115255
ABW,1B1,1970,0.16166500000000003
AIA,1A1a,1970,0.030241
AIA,1A2,1970,2.7111914599999998
AIA,1A4,1970,0.0011900294
AIA,1B1,1970,2.5721800000000004
ATG,1A1a,1970,3.61566
ATG,1A2,1970,25.6375572
ATG,1A4,1970,9.905814
ATG,1B1,1970,0.0879481
ATG,4F,1970,6.207964570000001
BHS,1A1a,1970,86.5984
BHS,1A2,1970,108.272049
BHS,1A4,1970,121.80845
BHS,1B1,1970,0.552519
BHS,4F,1970,4.322383899999999
BLZ,1A1a,1970,1.45234
BLZ,1A2,1970,56.0539104
BLZ,1A4,1970,20.74766
BLZ,1B1,1970,0.545326
BLZ,4F,1970,112.04752
BMU,1A1a,1970,5.44535
BMU,1A2,1970,24.1873288
BMU,1A4,1970,19.845005
BMU,1B1,1970,0.0779693
BMU,4F,1970,0.030632930000000003
BRB,1A1a,1970,21.3644
BRB,1A2,1970,99.2539
BRB,1A4,1970,17.553541
BRB,1B1,1970,2.70638
BRB,4F,1970,220.03890370000002
CRI,1A1a,1970,15.1
CRI,1A2,1970,570.5999999999999
CRI,1A4,1970,421.516
CRI,1B1,1970,26.575
CRI,4F,1970,410.49497399999996
CUB,1A1a,1970,1960.4
CUB,1A2,1970,10242.9344
CUB,1A4,1970,3605.5412
CUB,1B1,1970,762.7
CUB,4F,1970,12753.42991
CYM,1A1a,1970,0.610909
CYM,1A2,1970,7.2057485
CYM,1A4,1970,4.1169225
CYM,1B1,1970,0.0241849
CYM,4F,1970,0.002892406
DMA,1A1a,1970,0.437884
DMA,1A2,1970,28.6911968
DMA,1A4,1970,1.1179649999999999
DMA,1B1,1970,0.274622
DMA,4F,1970,0.9517245000000001
DOM,1A1a,1970,227.6
DOM,1A2,1970,2072.6
DOM,1A4,1970,1871.6080000000002
DOM,1B1,1970,1847.72
DOM,4F,1970,1453.299781
GLP,1A1a,1970,10.4959
GLP,1A2,1970,127.680181
GLP,1A4,1970,29.389375
GLP,1B1,1970,1.5114799999999997
GLP,4F,1970,281.37604229000004
GRD,1A1a,1970,0.571401
GRD,1A2,1970,34.8170983
GRD,1A4,1970,1.9360133
GRD,1B1,1970,0.8852549999999999
GRD,4F,1970,3.21416308
GTM,1A1a,1970,49.9
GTM,1A2,1970,1475.9
GTM,1A4,1970,5600.692
GTM,1B1,1970,1590.775
GTM,4F,1970,809.3847852
HND,1A1a,1970,
HND,1A2,1970,531.0
HND,1A4,1970,3402.948
HND,1B1,1970,104.85
HND,4F,1970,392.180702
HTI,1A1a,1970,8.1
HTI,1A2,1970,536.3
HTI,1A4,1970,4188.924
HTI,1B1,1970,2443.05
HTI,4F,1970,770.2965250000001
JAM,1A1a,1970,923.1
JAM,1A2,1970,
JAM,1A4,1970,73.214
JAM,1B1,1970,318.05
JAM,4F,1970,633.1996091999999
KNA,1A1a,1970,0.450386
KNA,1A2,1970,16.842174099999998
KNA,1A4,1970,5.068306
KNA,1B1,1970,0.060049700000000004
KNA,4F,1970,50.108511959999994
LCA,1A1a,1970,1.14344
LCA,1A2,1970,46.0004276
LCA,1A4,1970,5.509599
LCA,1B1,1970,0.38556900000000005
LCA,4F,1970,1.87692362
MSR,1A1a,1970,0.126612
MSR,1A2,1970,4.6513238800000005
MSR,1A4,1970,0.7437909
MSR,1B1,1970,0.016578899999999997
MSR,4F,1970,0.005429404
MTQ,1A1a,1970,16.437
MTQ,1A2,1970,128.958705
MTQ,1A4,1970,18.212217000000003
MTQ,1B1,1970,1.5908399999999998
MTQ,4F,1970,74.59293450000001
NIC,1A1a,1970,27.9
NIC,1A2,1970,662.2
NIC,1A4,1970,2060.247
NIC,1B1,1970,203.75
NIC,4F,1970,471.2484449
PAN,1A1a,1970,5.2
PAN,1A2,1970,214.1
PAN,1A4,1970,1084.952
PAN,1B1,1970,20.275
PAN,4F,1970,303.850457
PRI,1A4,1970,
PRI,4F,1970,812.612925
SLV,1A1a,1970,
SLV,1A2,1970,498.5
SLV,1A4,1970,4330.005999999999
SLV,1B1,1970,32.575
SLV,4F,1970,470.9185959
TCA,1A1a,1970,0.0322896
TCA,1A2,1970,2.89487039
TCA,1A4,1970,0.0012651903
TCA,1B1,1970,0.024881200000000003
TTO,1A1a,1970,86.6
TTO,1A4,1970,65.50699999999999
TTO,1B1,1970,11.525
TTO,4F,1970,397.7156107
VCT,1A1a,1970,0.641803
VCT,1A2,1970,38.8526082
VCT,1A4,1970,2.3140396
VCT,1B1,1970,0.298008
VCT,4F,1970,4.5817570000000005
VGB,1A1a,1970,0.16421
VGB,1A2,1970,4.34188507
VGB,1A4,1970,1.0285368
VGB,1B1,1970,0.024339599999999996
VIR,4F,1970,
BRA,1A1a,1970,597.2
BRA,1A1bc,1970,352.1
BRA,1A2,1970,36329.542
BRA,1A3b,1970,402.144
BRA,1A3c,1970,120.7
BRA,1A3d,1970,38.9
BRA,1A4,1970,97879.05799999998
BRA,1B1,1970,22696.300000000003
BRA,2C,1970,
BRA,4F,1970,29307.329846999997
ARG,1A1a,1970,206.8
ARG,1A2,1970,5245.6
ARG,1A3b,1970,
ARG,1A3e,1970,176.2
ARG,1A4,1970,1885.385
ARG,1B1,1970,4514.67
ARG,2C,1970,
ARG,4F,1970,9638.48185
BOL,1A1a,1970,16.9
BOL,1A2,1970,120.352
BOL,1A4,1970,628.14
BOL,1B1,1970,47.525
BOL,4F,1970,514.551355
CHL,1A1a,1970,95.2
CHL,1A1bc,1970,
CHL,1A2,1970,940.5
CHL,1A4,1970,4565.13
CHL,1B1,1970,
CHL,4F,1970,989.2432239999999
COL,1A1a,1970,
COL,1A2,1970,2657.7
COL,1A3b,1970,
COL,1A4,1970,15045.154999999999
COL,1B1,1970,305.625
COL,4F,1970,2880.06063
ECU,1A1a,1970,
ECU,1A2,1970,503.9
ECU,1A4,1970,3903.26
ECU,4F,1970,1371.063197
FLK,1A1a,1970,0.0972539
FLK,1A2,1970,0.790946726
FLK,1A4,1970,0.5516035
FLK,1B1,1970,0.0559501
GUF,1A1a,1970,10.637
GUF,1A2,1970,28.6360312
GUF,1A4,1970,9.443940000000001
GUF,1B1,1970,0.884483
GUF,4F,1970,0.8441415000000001
GUY,1A1a,1970,31.4148
GUY,1A2,1970,300.74746
GUY,1A4,1970,109.07841
GUY,1B1,1970,1.0715899999999998
GUY,4F,1970,698.4951062
PER,1A1a,1970,313.7
PER,1A2,1970,1443.2
PER,1A3b,1970,
PER,1A4,1970,11352.548
PER,1B1,1970,2208.1
PER,4F,1970,2066.1432640000003
PRY,1A1a,1970,155.2
PRY,1A2,1970,1286.2
PRY,1A3b,1970,
PRY,1A3c,1970,55.6
PRY,1A4,1970,3122.494
PRY,1B1,1970,246.3
PRY,4F,1970,427.02893600000004
SUR,1A1a,1970,66.5758
SUR,1A2,1970,148.22767199999998
SUR,1A4,1970,58.18535
SUR,1B1,1970,6.738149999999999
SUR,4F,1970,95.21968639999999
URY,1A1a,1970,19.7
URY,1A2,1970,236.5
URY,1A4,1970,1318.5569999999998
URY,1B1,1970,8.775
URY,4F,1970,487.38297800000004
VEN,1A2,1970,1288.6
VEN,1A4,1970,496.98900000000003
VEN,1B1,1970,25.55
VEN,4F,1970,1210.173743
DZA,1A4,1970,24.605
DZA,4F,1970,58.15301279999999
EGY,1A2,1970,1384.3
EGY,1A4,1970,1277.75
EGY,4F,1970,134.6188915
ESH,1A1a,1970,
ESH,1A2,1970,29.0529
ESH,1A4,1970,1.05906
ESH,1B1,1970,
ESH,4F,1970,0.0191396
LBY,1A4,1970,385.89
LBY,4F,1970,3.8657658599999998
MAR,1A2,1970,
MAR,1A4,1970,501.03
MAR,4F,1970,103.827333802
TUN,1A4,1970,1394.962
TUN,1B1,1970,823.4
TUN,4F,1970,22.437873600000003
BEN,1A1a,1970,
BEN,1A2,1970,
BEN,1A4,1970,3480.045
BEN,1B1,1970,1534.125
BEN,4F,1970,302.39505999999994
BFA,1A1a,1970,
BFA,1A2,1970,31.6855
BFA,1A4,1970,9334.7693
BFA,1B1,1970,1294.3649999999998
BFA,4F,1970,488.0947
CAF,1A1a,1970,
CAF,1A2,1970,12.5913
CAF,1A4,1970,2544.9123299999997
CAF,1B1,1970,134.3758
CAF,4F,1970,180.64121419999998
CIV,1A1a,1970,
CIV,1A4,1970,4199.735
CIV,1B1,1970,6570.75
CIV,4F,1970,702.6511900000002
CMR,1A1a,1970,
CMR,1A4,1970,8984.918
CMR,1B1,1970,1188.725
CMR,4F,1970,509.315071
COD,1A2,1970,4699.7
COD,1A4,1970,16720.804
COD,1B1,1970,2752.3
COD,4F,1970,1227.723531
COG,1A4,1970,984.877
COG,1B1,1970,790.275
COG,4F,1970,93.13680439999999
CPV,1A1a,1970,
CPV,1A2,1970,49.3158
CPV,1A4,1970,126.392845
CPV,1B1,1970,0.5951690000000001
CPV,4F,1970,3.0464712
GAB,1A1a,1970,
GAB,1A2,1970,405.6
GAB,1A4,1970,1549.26
